City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Hasaki,JP,2021-01-30 17:00:33,35.7333,140.8333,26.6,80,20,14.41
119,Belyy Yar,RU,2021-01-30 17:00:33,53.6039,91.3903,-14.8,70,0,8.95
120,Isangel,VU,2021-01-30 17:00:33,-19.55,169.2667,76.17,78,7,9.28
121,Hovd,MN,2021-01-30 17:00:33,48.0056,91.6419,12.13,81,0,1.32
122,Cusuna,HN,2021-01-30 17:00:33,15.85,-85.2333,78.94,74,50,8.55
123,Upernavik,GL,2021-01-30 17:00:33,72.7868,-56.1549,-9.78,86,2,7.78
124,Pontes E Lacerda,BR,2021-01-30 17:00:33,-15.2261,-59.3353,88.3,57,25,6.69
125,Longyearbyen,SJ,2021-01-30 17:00:34,78.2186,15.6401,-2.2,50,20,21.85
126,Saint-Pierre,RE,2021-01-30 17:00:34,-21.3393,55.4781,80.6,69,0,4.61
127,Berlevag,NO,2021-01-30 17:00:34,70.8578,29.0864,25.77,96,100,23.53
128,Yushu,CN,2021-01-30 17:00:34,44.8,126.5333,-18.0,88,0,4.59
129,San Patricio,US,2021-01-30 17:00:35,28.017,-97.5169,77.0,73,75,32.21
130,Souillac,MU,2021-01-30 17:00:35,-20.5167,57.5167,78.8,83,75,6.91
131,Wani,IN,2021-01-30 17:00:35,20.0667,78.95,71.08,39,0,4.09
132,Bamora,IN,2021-01-30 17:00:35,24.0552,78.0909,54.7,37,0,3.27
133,Klichka,RU,2021-01-30 17:00:36,50.4457,117.996,-25.78,87,100,2.21
134,Cienaga,CO,2021-01-30 17:00:36,11.007,-74.2476,91.0,58,0,20.71
135,Port Elizabeth,ZA,2021-01-30 17:00:36,-33.918,25.5701,71.6,73,0,12.66
136,Khrebtovaya,RU,2021-01-30 17:00:37,56.7032,104.2494,-40.11,82,20,4.94
137,Vila Franca Do Campo,PT,2021-01-30 17:00:37,37.7167,-25.4333,64.99,94,75,14.97
138,Innisfail,AU,2021-01-30 17:00:37,-17.5333,146.0333,73.85,88,100,5.41
139,Port-Gentil,GA,2021-01-30 17:00:38,-0.7193,8.7815,86.0,74,40,10.36
140,Juneau,US,2021-01-30 17:00:38,58.3019,-134.4197,30.0,86,75,3.44
