City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Oksfjord,NO,70.2396,22.3479,28.4,69,40,10.36,light snow
146,Henties Bay,NA,-22.116,14.2845,66.0,83,67,7.14,broken clouds
147,Makakilo City,US,21.3469,-158.0858,75.2,78,75,5.75,broken clouds
148,Nanakuli,US,21.3906,-158.1547,75.2,78,75,5.75,broken clouds
149,Coquimbo,CL,-29.9533,-71.3436,69.8,78,20,16.11,few clouds
150,Dikson,RU,73.5069,80.5464,-27.29,78,66,8.72,broken clouds
151,Pueblo Nuevo,MX,23.3833,-105.3833,77.09,19,0,6.24,clear sky
152,Sriperumbudur,IN,12.9689,79.9489,77.0,78,20,3.44,mist
153,Chiavari,IT,44.3201,9.322,48.99,74,42,4.25,scattered clouds
154,Jones,PH,16.5571,121.7029,65.7,93,100,1.12,overcast clouds
155,Fortuna,US,40.5982,-124.1573,53.01,100,75,21.85,moderate rain
156,Luanda,AO,-8.8368,13.2343,78.76,81,71,11.27,broken clouds
157,Pevek,RU,69.7008,170.3133,-26.23,85,100,0.98,overcast clouds
158,Torbay,CA,47.6666,-52.7314,32.0,100,90,16.11,light snow
159,Shitanjing,CN,39.2342,106.3439,22.19,77,0,12.68,clear sky
160,Ovalle,CL,-30.5983,-71.2003,84.76,34,2,15.7,clear sky
161,Grand Forks,US,47.9417,-97.4337,26.6,86,90,10.36,overcast clouds
162,Gamba,GA,-2.65,10.0,78.78,87,100,3.04,light rain
163,Lago Da Pedra,BR,-4.3333,-45.1667,81.88,83,100,2.84,overcast clouds
164,Mar Del Plata,AR,-38.0023,-57.5575,64.4,68,90,17.27,overcast clouds
165,Bethel,US,41.3712,-73.414,23.0,49,90,3.04,overcast clouds
166,Cascais,PT,38.6979,-9.4215,60.01,97,100,15.9,overcast clouds
167,Lorengau,PG,-2.0226,147.2712,82.45,82,96,8.63,overcast clouds
168,Port Elizabeth,ZA,-33.918,25.5701,69.8,83,20,13.8,few clouds
169,Leningradskiy,RU,69.3833,178.4167,-21.23,85,96,9.31,overcast clouds
170,Asau,RO,46.4333,26.4,30.0,69,100,3.33,overcast clouds
171,Chuy,UY,-33.6971,-53.4616,69.3,85,100,16.82,overcast clouds
172,Tasiilaq,GL,65.6145,-37.6368,14.0,57,75,2.8,broken clouds
173,Nouadhibou,MR,20.931,-17.0347,68.0,73,90,16.11,sand
174,Nuevitas,CU,21.5453,-77.2644,86.0,48,40,9.22,scattered clouds
175,Sarapul,RU,56.4763,53.7978,28.0,77,100,5.99,light snow
176,Bilma,NE,18.6853,12.9164,62.49,25,0,4.14,clear sky
177,Kavieng,PG,-2.5744,150.7967,83.12,81,100,10.83,light rain
178,Mamallapuram,IN,12.6264,80.1722,77.0,78,20,3.44,mist
179,Rabo De Peixe,PT,37.8,-25.5833,63.0,88,75,14.97,broken clouds
180,Ardakan,IR,32.31,54.0175,48.2,18,0,4.61,clear sky
181,Yatou,CN,37.15,122.3833,38.98,76,100,6.64,overcast clouds
182,Carnarvon,AU,-24.8667,113.6333,86.0,48,100,16.11,overcast clouds
183,Sorland,NO,67.667,12.6934,32.0,69,20,12.66,few clouds
184,Lufilufi,WS,-13.8745,-171.5986,84.2,84,90,17.27,overcast clouds
185,Oga,IT,46.4631,10.347,36.0,100,17,2.3,few clouds
186,Pierre,US,44.3683,-100.351,35.6,75,20,5.75,few clouds
187,Sulina,RO,45.1559,29.6536,43.47,93,100,6.06,overcast clouds
188,Lieksa,FI,63.3167,30.0167,12.0,96,100,3.04,overcast clouds
189,Catia La Mar,VE,10.6038,-67.0303,80.6,78,40,14.92,scattered clouds
190,Robe,AU,-37.1833,139.75,59.7,81,100,9.64,light rain
191,Barkhan,PK,29.8977,69.5256,49.89,42,0,1.1,clear sky
192,Tessalit,ML,20.1986,1.0114,67.19,20,60,8.52,broken clouds
193,Lasa,IT,46.6166,10.7002,34.0,80,0,4.61,clear sky
194,Iranshahr,IR,27.2025,60.6848,62.6,31,0,9.22,clear sky
195,Palaia Fokaia,GR,37.72,23.9463,60.01,67,40,11.5,scattered clouds
196,Norman Wells,CA,65.282,-126.8329,-18.4,69,75,2.3,broken clouds
197,Butaritari,KI,3.0707,172.7902,80.53,83,9,15.68,light rain
198,Vardo,NO,70.3705,31.1107,26.6,86,75,12.66,light snow
199,Santa Barbara,US,34.7333,-120.0343,62.01,62,1,3.04,clear sky
200,Gravdal,NO,68.1214,13.5031,19.4,86,0,5.75,clear sky
201,Ahuimanu,US,21.4447,-157.8378,75.2,69,75,13.8,broken clouds
202,Atar,MR,20.5169,-13.0499,73.74,19,88,9.71,overcast clouds
203,Caravelas,BR,-17.7125,-39.2481,80.91,69,6,8.79,clear sky
204,Necochea,AR,-38.5473,-58.7368,64.0,55,47,4.0,scattered clouds
205,Namatanai,PG,-3.6667,152.4333,79.54,72,100,2.51,overcast clouds
206,Narsaq,GL,60.9167,-46.05,39.2,30,75,23.02,broken clouds
207,Priladozhskiy,RU,59.85,31.4833,21.0,78,100,5.28,light snow
208,Banda Aceh,ID,5.5577,95.3222,77.36,82,80,13.62,broken clouds
209,Kushmurun,KZ,52.4503,64.6311,6.49,93,0,6.35,clear sky
210,Jumla,NP,29.2747,82.1838,32.5,71,0,3.02,clear sky
211,Korla,CN,41.7597,86.1469,21.07,82,70,1.39,broken clouds
212,Lata,PT,40.1629,-8.3327,57.99,93,57,1.99,broken clouds
213,Manaure,CO,11.7751,-72.4445,87.78,50,56,20.87,broken clouds
214,Menongue,AO,-14.6585,17.691,66.58,89,100,2.01,light rain
215,Bonavista,CA,48.6499,-53.1147,32.0,93,100,8.05,light snow
216,Verkhoyansk,RU,67.5447,133.385,-46.46,75,100,0.76,overcast clouds
217,Sturgeon Bay,US,44.8342,-87.377,32.0,69,40,13.8,scattered clouds
218,Kodiak,US,57.79,-152.4072,26.6,54,1,9.37,clear sky
219,Bafata,GW,12.1667,-14.75,82.67,15,22,2.53,few clouds
220,Kapiri Mposhi,ZM,-13.9652,28.6809,66.54,95,100,2.84,light rain
221,Vila Velha,BR,-20.3297,-40.2925,84.2,65,20,20.71,few clouds
222,Bamiantong,CN,44.9333,130.5333,6.24,93,100,2.37,light snow
223,Bima,ID,-8.4667,118.7167,76.1,84,100,0.6,overcast clouds
