City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
649,Mogadishu,SO,75.24,clear sky,2.0371,45.3438,Hotel Juba
654,Kerema,PG,77.16,overcast clouds,-7.9631,145.7785,Frena Lodge
656,Kuching,MY,75.2,heavy intensity rain,1.55,110.3333,Hilton Kuching
657,Loandjili,CG,79.03,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
666,Alice Springs,AU,86.0,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
669,Kudahuvadhoo,MV,81.36,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
673,Quatre Cocos,MU,80.6,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
677,Samarai,PG,84.0,clear sky,-10.6167,150.6667,Nuli Sapi
678,Ipixuna,BR,78.8,heavy intensity rain,-1.7625,-48.8043,Casa da Oscarina
681,Villa Bruzual,VE,83.12,overcast clouds,9.3328,-69.1208,Edificio Guarente
684,Ilhabela,BR,77.59,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
685,Tena,EC,86.0,broken clouds,-0.9833,-77.8167,Hostal Tena Ñaui
686,Kavaratti,IN,80.92,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
